case_id,transaction_id,dispute_description,ground_truth_reason,transaction_amount,missing_document,contradiction,expected_human_review,synthetic
SYN-01526,TXN-364760,invoice total differs from debit. ref tx,Incorrect transaction amount,15139.33,False,False,False,True
SYN-01424,TXN-705923,unclear problem with this purchase,Other,60139.41,False,False,True,True
SYN-00010,TXN-913694,product quality and colour do not match,Product not as described,63245.17,False,False,False,True
SYN-00422,TXN-934638,amount taken is higher than agreed,Incorrect transaction amount,41082.18,False,False,False,True
SYN-00453,TXN-841535,I do not recognize this payment,Transaction not recognized,23932.12,False,False,False,True
SYN-00937,TXN-890645,did not receive the product,Product not received,13047.83,False,False,False,True
SYN-01462,TXN-336800,charged the wrong amount,Incorrect transaction amount,54868.4,False,False,False,True
SYN-00765,TXN-197649,I never authorized this transaction,Transaction not recognized,69874.62,False,False,False,True
SYN-01099,TXN-119527,duplicate payment appears on my card,Duplicate charge,17683.02,False,False,False,True
SYN-00320,TXN-259814,I have another issue with this transation,Other,31434.26,False,False,False,True
SYN-00911,TXN-688285,membership was cancelled but billing continued,Subscription cancellation dispute,73318.74,True,False,True,True
SYN-00613,TXN-256826,unknown purchase on my statement. please help,Transaction not recognized,31600.09,False,False,False,True
SYN-00045,TXN-374680,I do not recognize this payment,Transaction not recognized,9984.44,True,False,True,True
SYN-01159,TXN-774920,membership was cancelled but billing continued,Subscription cancellation dispute,38556.28,True,False,True,True
SYN-01046,TXN-818247,charged the wrong amount. urgent,Incorrect transaction amount,44156.46,False,False,False,True
SYN-00032,TXN-102260,I have another issue with this transaction. ref tx,Other,12514.02,False,False,False,True
SYN-00179,TXN-314353,duplicate payment appears on my card,Duplicate charge,4296.75,True,False,True,True
SYN-00910,TXN-850742,invoice total differs from debit. details missing,Incorrect transaction amount,29936.74,True,False,True,True
SYN-00434,TXN-227352,product quality and colour do not match,Product not as described,59576.76,True,True,True,True
SYN-00234,TXN-361736,product qulity and colour do not match,Product not as described,48786.79,False,False,False,True
SYN-00452,TXN-243079,refund promised but not received,Refund not processed,22771.34,False,True,True,True
SYN-00920,TXN-827968,payment dispute needs investigation,Other,35807.32,False,False,False,True
SYN-00219,TXN-766549,same transaction debited two times,Duplicate charge,35365.57,False,False,False,True
SYN-01539,TXN-235753,charged twice for the same order,Duplicate charge,41446.16,False,True,True,True
SYN-01528,TXN-105490,I have another issue with this transaction. please help,Other,60788.47,False,False,False,True
SYN-00005,TXN-230889,unknown purchase on my statement. possible mix up,Transaction not recognized,34564.44,True,True,True,True
SYN-00575,TXN-818699,renewal debit after cancellation,Subscription cancellation dispute,16144.71,True,False,True,True
SYN-00830,TXN-597643,invoice total differs from debit,Incorrect transaction amount,52979.17,False,False,False,True
SYN-00760,TXN-327408,payment dispute needs investigation,Other,37110.81,False,False,False,True
SYN-01000,TXN-618172,I have another issue with this transaction,Other,21738.84,False,False,False,True
SYN-00460,TXN-497108,refund promised but not received,Refund not processed,37082.03,False,False,False,True
SYN-00486,TXN-992647,charged the wrong amount,Incorrect transaction amount,10345.74,True,False,True,True
SYN-00669,TXN-242921,unknown purchase on my statement,Transaction not recognized,56920.11,True,False,True,True
SYN-01469,TXN-296114,I never authorized this transaction. ref tx,Transaction not recognized,67078.43,False,False,False,True
SYN-00912,TXN-863364,I have another issue with this transaction. ref tx,Other,12450.68,False,False,False,True
SYN-01029,TXN-696152,unknown purchase on my statement. urgent,Transaction not recognized,32193.77,True,False,True,True
SYN-00576,TXN-556379,payment dispute needs investigation,Other,55654.59,False,False,False,True
SYN-00554,TXN-897730,service was not as advertised,Product not as described,53334.09,False,False,False,True
SYN-00229,TXN-144412,I never authorized this transaction. ref tx,Transaction not recognized,26495.07,False,False,False,True
SYN-01007,TXN-628216,renewal debit after cancellation,Subscription cancellation dispute,19669.08,False,False,False,True
SYN-01169,TXN-133773,order never delivered although tracking says pending,Product not received,42654.36,True,False,True,True
SYN-00913,TXN-417960,order never delivered although tracking says pending,Product not received,10943.36,False,False,False,True
SYN-01240,TXN-790318,unclear problem with this purchase,Other,35813.4,False,False,True,True
SYN-00570,TXN-780840,item is different from its description,Product not as described,56459.36,False,False,False,True
SYN-00956,TXN-631297,merchant has not processed my refund,Refund not processed,64105.34,False,False,False,True
SYN-01576,TXN-736592,unclear problem with this purchase,Other,59905.57,True,False,True,True
SYN-01094,TXN-220213,invoice total differs from debit,Incorrect transaction amount,19436.16,False,False,False,True
SYN-00447,TXN-837623,charged after cancelling subscription. details missing,Subscription cancellation dispute,44448.47,False,False,False,True
SYN-00529,TXN-938754,my parcel has not arrived. ref tx,Product not received,63830.08,True,False,True,True
SYN-00243,TXN-553633,charged twice for the same order,Duplicate charge,72476.56,False,False,False,True
SYN-00727,TXN-163029,renewal debit after cancellation,Subscription cancellation dispute,19307.39,False,False,False,True
SYN-01194,TXN-298754,service was not as advertised. urgnt,Product not as described,42241.21,True,False,True,True
SYN-00053,TXN-392683,I do not recognize this payment. custmer says,Transaction not recognized,72523.27,True,False,True,True
SYN-01168,TXN-889185,unclear problem with this purchase. possible mix up,Other,32043.23,False,False,True,True
SYN-00684,TXN-927477,refund promised but not received,Refund not processed,9148.91,True,False,True,True
SYN-00178,TXN-721946,product quality and colour do not match. possible mix up,Product not as described,50930.38,True,True,True,True
SYN-00102,TXN-189318,chaged the wrong amount,Incorrect transaction amount,71194.55,True,False,True,True
SYN-01268,TXN-784925,return completed but money not credited,Refund not processed,20785.44,False,False,False,True
SYN-01476,TXN-103257,merchant has not processed my refund. possible mix up,Refund not processed,21740.09,False,False,False,True
SYN-01464,TXN-803069,unclear problem with this purchase,Other,16092.38,True,False,True,True
SYN-00418,TXN-384434,service was not as advertised,Product not as described,54077.26,True,False,True,True
SYN-01091,TXN-790229,charged twice for the same order,Duplicate charge,1595.09,False,False,False,True
SYN-00467,TXN-309374,charged twice for the same order. please help,Duplicate charge,45095.72,True,False,True,True
SYN-00230,TXN-160144,amount taken is higher than agreed,Incorrect transaction amount,73506.02,False,False,False,True
SYN-00043,TXN-459536,charged twice for the same order,Duplicate charge,15954.31,True,False,True,True
SYN-01067,TXN-951266,charged twice for the same order,Duplicate charge,26024.09,False,False,False,True
SYN-00848,TXN-456581,unclear problem with this purchase. please help,Other,40189.58,False,True,True,True
SYN-01375,TXN-826061,charged after cancelling subscription. urgent,Subscription cancellation dispute,5974.33,False,False,False,True
SYN-00629,TXN-832377,I never authorized this transaction,Transaction not recognized,38388.49,True,False,True,True
SYN-00279,TXN-401198,charged after cancelling subscription,Subscription cancellation dispute,15118.51,False,False,False,True
SYN-00799,TXN-658624,membership was cancelled but billing continued,Subscription cancellation dispute,59473.63,True,False,True,True
SYN-01250,TXN-498663,service was not as advertised,Product not as described,64028.96,True,False,True,True
SYN-01332,TXN-273558,return completed but money not credited. possible mix up,Refund not processed,72871.05,False,False,False,True
SYN-01057,TXN-481405,order never delivered although tracking says pending,Product not received,11740.48,False,False,False,True
SYN-00747,TXN-513296,charged twice for the same order,Duplicate charge,54070.75,False,False,False,True
SYN-01363,TXN-837246,duplicate payment appears on my card. custmer says,Duplicate charge,56171.35,False,False,False,True
SYN-00359,TXN-585556,renewal debit after cancellation,Subscription cancellation dispute,28183.52,False,False,False,True
SYN-01045,TXN-121817,unknown purchase on m statement,Transaction not recognized,52373.78,False,False,False,True
SYN-00084,TXN-307963,refund promised but not received,Refund not processed,70621.94,False,False,False,True
SYN-00061,TXN-324082,I do not recognize this payment,Transaction not recognized,33273.0,False,False,False,True
SYN-00067,TXN-587213,same tranaction debited two times,Duplicate charge,10172.9,False,True,True,True
SYN-00153,TXN-393328,did not receive the product. ref tx,Product not received,70441.11,False,False,False,True
SYN-00277,TXN-155040,I never authorized this transaction,Transaction not recognized,47917.89,False,False,False,True
SYN-01214,TXN-689448,charged the wrong amount,Incorrect transaction amount,21384.57,False,False,False,True
SYN-00750,TXN-517375,amount taken is higher than agreed. ref tx,Incorrect transaction amount,21979.51,False,True,True,True
SYN-01103,TXN-100569,membership was cancelled but billing continued. possible mix up,Subscription cancellation dispute,72911.69,False,False,False,True
SYN-01027,TXN-848301,same transacion debited two times,Duplicate charge,48640.92,False,False,False,True
SYN-01596,TXN-666052,refund promised but not received. details missing,Refund not processed,67709.99,False,True,True,True
SYN-01006,TXN-513869,amount taken is higher than agreed,Incorrect transaction amount,28693.52,True,False,True,True
SYN-00199,TXN-843266,renewal debit after cancellation. merchant disagrees,Subscription cancellation dispute,9844.71,False,False,False,True
SYN-00621,TXN-813666,I never authorized this transaction,Transaction not recognized,45968.29,False,False,False,True
SYN-01274,TXN-223025,service was not as advertised,Product not as described,49461.62,False,False,False,True
SYN-00377,TXN-896922,did not receive the product. possible mix up,Product not received,56807.37,False,False,False,True
SYN-00505,TXN-708502,order never delivered although tracking says pending,Product not received,47652.51,True,True,True,True
SYN-00594,TXN-952117,item i different from its description. custmer says,Product not as described,47445.29,False,False,False,True
SYN-01267,TXN-933958,duplicate payment appears on my card,Duplicate charge,51945.95,False,False,False,True
SYN-00797,TXN-468512,unknown purchase on my statement,Transaction not recognized,35754.49,False,True,True,True
SYN-00996,TXN-685661,merchant has not processed my refund. ref tx,Refund not processed,71118.52,False,False,False,True
SYN-01265,TXN-722217,my parcel has not arrived. ref tx,Product not received,48826.97,True,False,True,True
SYN-01515,TXN-566070,duplicate payment appars on my card. ref tx,Duplicate charge,49357.58,True,False,True,True
SYN-00039,TXN-204837,membership was cancelled but billing continued,Subscription cancellation dispute,42311.49,True,False,True,True
SYN-00140,TXN-620856,merchant has not processed my refund. possible mix up,Refund not processed,45558.81,False,True,True,True
SYN-01112,TXN-951307,payment dispute needs investigation,Other,62967.94,False,False,False,True
SYN-01419,TXN-960270,charged twice for the same order,Duplicate charge,34902.71,False,False,False,True
SYN-01012,TXN-557629,merchant has ot processed my refund. urgent,Refund not processed,53005.73,True,False,True,True
SYN-00302,TXN-544730,charged the wrong amount,Incorrect transaction amount,53987.95,False,False,False,True
SYN-00657,TXN-586279,did not receive the product,Product not received,46101.66,False,True,True,True
SYN-01298,TXN-971783,service was not as advertised,Product not as described,46297.85,False,False,False,True
SYN-00055,TXN-735656,membership was cancelled but billing coninued. merchant disagrees,Subscription cancellation dispute,23662.38,False,False,False,True
SYN-01355,TXN-656249,duplicae payment appears on my card. merchant disagrees,Duplicate charge,13518.65,False,False,False,True
SYN-00999,TXN-224269,charged after cancelling subscription. details missing,Subscription cancellation dispute,50585.7,False,False,False,True
SYN-01090,TXN-704876,product quality and colour do not match,Product not as described,46478.68,False,False,False,True
SYN-01053,TXN-258522,unknown purchase on my statement,Transaction not recognized,41864.83,False,False,False,True
SYN-00360,TXN-536181,unclear problem with this purchase,Other,8019.4,True,True,True,True
SYN-01368,TXN-131652,I have another issue with this transaction,Other,65311.55,True,False,True,True
SYN-00745,TXN-803950,my parcel has not arrived. possible mix up,Product not received,16846.28,False,False,False,True
SYN-01186,TXN-583767,item is different from its description. please help,Product not as described,34925.03,True,False,True,True
SYN-01105,TXN-415242,did not receive the product. possible mix up,Product not received,42318.07,True,False,True,True
SYN-00865,TXN-223215,order never deliveredalthough tracking says pending,Product not received,17825.03,True,True,True,True
SYN-01338,TXN-376864,product quality and colour do not match,Product not as described,66322.07,True,False,True,True
SYN-01523,TXN-282450,duplicate payment appears on my card. urgent,Duplicate charge,17898.2,False,False,False,True
SYN-00469,TXN-489043,unknown purchase on my statement,Transaction not recognized,29186.42,True,False,True,True
SYN-00173,TXN-386544,I never authorized this transacion,Transaction not recognized,2364.73,False,False,False,True
SYN-01313,TXN-817684,order never delivered although tracking says pending. please help,Product not received,1219.96,True,False,True,True
SYN-00131,TXN-747453,duplicate payment appears on my card,Duplicate charge,40667.54,False,False,False,True
SYN-01460,TXN-255190,merchant has not processed my refund. urgent,Refund not processed,24085.4,False,True,True,True
SYN-00895,TXN-776000,charged after cancelling subscription. custmer says,Subscription cancellation dispute,33400.18,True,False,True,True
SYN-00915,TXN-891930,charged twice for the same order. custmer says,Duplicate charge,53326.19,False,False,False,True
SYN-00285,TXN-284019,I never authorized thistransaction. urgent,Transaction not recognized,56844.51,False,False,False,True
SYN-00623,TXN-791308,membership was cancelled but billing continued. merchant disagrees,Subscription cancellation dispute,10526.66,False,False,False,True
SYN-00113,TXN-713762,did not receive the product. possible mix up,Product not received,21005.39,False,False,False,True
SYN-01175,TXN-236243,charged after cancelling subscription,Subscription cancellation dispute,64954.19,True,False,True,True
SYN-00129,TXN-377896,my parcel has not arrived,Product not received,35317.37,False,True,True,True
SYN-01243,TXN-605590,same transaction debited two times,Duplicate charge,71637.79,False,False,False,True
SYN-00473,TXN-626491,did not receive the product,Product not received,53629.78,True,False,True,True
SYN-00427,TXN-237057,charged twice for the same order,Duplicate charge,49750.47,False,True,True,True
SYN-01567,TXN-163766,charged after cancelling subscription. details missing,Subscription cancellation dispute,53858.07,False,True,True,True
SYN-00864,TXN-852037,unclear problem with this purchase,Other,44800.74,True,False,True,True
SYN-00752,TXN-288503,unclear problem with this purchase,Other,37648.7,False,True,True,True
SYN-01519,TXN-607243,charged after cancelling subscription. possible mix up,Subscription cancellation dispute,62981.39,False,True,True,True
SYN-00357,TXN-778159,I never authorized this transaction,Transaction not recognized,48447.98,False,False,False,True
SYN-00389,TXN-993829,I do not recognize this payment,Transaction not recognized,9967.58,True,False,True,True
SYN-00420,TXN-578933,merchant has not processed my refund. ref tx,Refund not processed,6660.72,False,False,False,True
SYN-00653,TXN-953350,unknown purchase on my statement,Transaction not recognized,4689.78,False,False,False,True
SYN-00744,TXN-302647,payment dispute needs investigation,Other,10485.09,False,False,False,True
SYN-00521,TXN-738584,my parcel has not arrived,Product not received,37430.38,True,False,True,True
SYN-00162,TXN-819425,service was not as advertised. custmer says,Product not as described,30240.37,True,False,True,True
SYN-00531,TXN-917012,charged twice for the same order. details missing,Duplicate charge,45926.58,False,False,False,True
SYN-01402,TXN-185678,service was not as advertised,Product not as described,20687.39,True,True,True,True
SYN-00736,TXN-238173,I have another issue with this transaction,Other,33797.3,True,False,True,True
SYN-00105,TXN-351516,did not eceive the product,Product not received,6271.9,False,False,False,True
SYN-00065,TXN-821024,did not receive the product,Product not received,11237.48,False,False,False,True
SYN-01390,TXN-470533,charged the wrong amount,Incorrect transaction amount,43322.65,True,True,True,True
SYN-00490,TXN-194782,service was not as advertised,Product not as described,62348.92,False,False,False,True
SYN-01020,TXN-935750,return completed but money not credited,Refund not processed,68034.41,False,False,False,True
SYN-00509,TXN-613358,I never authorized this transaction. ref tx,Transaction not recognized,57383.15,False,True,True,True
SYN-01328,TXN-677236,payment dispute needs investigation,Other,14538.85,False,True,True,True
SYN-01358,TXN-254958,charged the wrong amount,Incorrect transaction amount,11164.01,False,False,False,True
SYN-00737,TXN-821978,my parcel has not arrived,Product not received,10529.74,False,False,False,True
SYN-00202,TXN-985447,item is different from its description. possible mix up,Product not as described,5971.03,True,True,True,True
SYN-01255,TXN-840842,renewal debit after cancellation. merchant disagrees,Subscription cancellation dispute,74764.27,False,True,True,True
SYN-01311,TXN-814852,membership was cancelled but billing continued,Subscription cancellation dispute,37267.95,True,False,True,True
SYN-00887,TXN-839113,charged after cancelling subscription. merchant disagrees,Subscription cancellation dispute,48682.96,True,False,True,True
SYN-01209,TXN-181961,my parcel has not arrived. urgent,Product not received,17875.23,False,False,False,True
SYN-00003,TXN-106814,same transaction debited two times,Duplicate charge,60745.21,True,False,True,True
SYN-00508,TXN-428638,merchant has not processed my refund,Refund not processed,74000.69,True,False,True,True
SYN-00942,TXN-404704,invoice total differs from debit,Incorrect transaction amount,41632.46,False,False,False,True
SYN-00796,TXN-797492,refund promised but not received,Refund not processed,52530.87,False,False,False,True
SYN-00835,TXN-112542,same transaction debited two times,Duplicate charge,62410.21,False,False,False,True
SYN-01440,TXN-307488,unclear problem with this purchase,Other,18906.22,False,False,True,True
SYN-00471,TXN-534096,renewal debit after cancellation. possible mix up,Subscription cancellation dispute,60651.68,True,False,True,True
SYN-00641,TXN-976960,did not receive the product. custmer says,Product not received,62653.38,True,False,True,True
SYN-00870,TXN-721497,charged the wrong amount. please help,Incorrect transaction amount,54160.67,True,False,True,True
SYN-00288,TXN-826420,payment dispute needs investigation,Other,49095.17,False,True,True,True
SYN-00122,TXN-389666,item is different from its description,Product not as described,64829.08,False,False,False,True
SYN-01037,TXN-116656,I never authorized this transaction,Transaction not recognized,8570.17,True,True,True,True
SYN-01365,TXN-582752,I do not recognize this payment. merchant disagrees,Transaction not recognized,10622.47,False,False,False,True
SYN-00879,TXN-869105,charged after cancelling subscription,Subscription cancellation dispute,74347.25,False,True,True,True
SYN-00480,TXN-596025,unclear problem with this purchase,Other,42986.91,True,False,True,True
SYN-01222,TXN-643725,charged the wrong amount. ossible mix up,Incorrect transaction amount,67594.38,False,False,False,True
SYN-01465,TXN-898598,my parcel has not arrived,Product not received,61086.67,False,False,False,True
SYN-00523,TXN-113368,charged twice for the same order,Duplicate charge,17740.23,False,False,False,True
SYN-00697,TXN-318877,did not rceive the product,Product not received,69779.72,False,True,True,True
SYN-00859,TXN-281873,same transaction debited two times,Duplicate charge,3608.92,False,False,False,True
SYN-00330,TXN-679549,service was not as advrtised,Product not as described,28568.33,False,True,True,True
SYN-00201,TXN-289019,did not receive the prouct,Product not received,27321.67,False,False,False,True
SYN-01230,TXN-390206,amount taken is higherthan agreed,Incorrect transaction amount,28453.47,True,False,True,True
SYN-00026,TXN-324643,item is different from its description,Product not as described,50239.21,True,False,True,True
SYN-01215,TXN-104383,renewal debit after cancellation,Subscription cancellation dispute,68726.59,False,False,False,True
SYN-01130,TXN-344435,item is different from its description,Product not as described,56446.61,False,True,True,True
SYN-00666,TXN-831510,product quality and colour do not match,Product not as described,72721.73,True,False,True,True
SYN-00591,TXN-980919,membership was cancelled but billing continued. merchant disagrees,Subscription cancellation dispute,32821.52,True,False,True,True
SYN-00822,TXN-373094,invoice total differs from debit. please help,Incorrect transaction amount,58919.4,False,False,False,True
SYN-00980,TXN-944986,refund promised but not received,Refund not processed,55345.02,True,False,True,True
SYN-01080,TXN-654844,I have another issue with this transaction,Other,38585.79,False,False,False,True
SYN-00710,TXN-196369,invoice total differs from debit. merchant disagrees,Incorrect transaction amount,60868.16,False,False,False,True
SYN-00518,TXN-498724,charged the wrong amount,Incorrect transaction amount,31374.23,True,False,True,True
SYN-00078,TXN-372793,amount taken is higherthan agreed,Incorrect transaction amount,13792.51,False,False,False,True
SYN-00253,TXN-267457,I do not recognize this payment. please help,Transaction not recognized,18769.87,False,False,False,True
SYN-00598,TXN-693297,amount taken is higher than agreed,Incorrect transaction amount,42563.09,True,True,True,True
SYN-01493,TXN-467230,I do not reconize this payment,Transaction not recognized,19006.47,False,True,True,True
SYN-00552,TXN-680472,unclear problem with this purchase,Other,55313.77,False,False,True,True
SYN-00733,TXN-954441,unknown purchase on my statement. details missing,Transaction not recognized,29159.75,True,False,True,True
SYN-00049,TXN-348237,did not receive the product. possible mix up,Product not received,56260.67,False,False,False,True
SYN-01382,TXN-912709,charged the wrog amount,Incorrect transaction amount,37762.35,False,False,False,True
SYN-00538,TXN-522866,product quality and colour do not match. merchant disagrees,Product not as described,48319.78,True,False,True,True
SYN-00334,TXN-847332,charged the wrong amount. possible mix up,Incorrect transaction amount,56468.39,False,False,False,True
SYN-01156,TXN-566097,return completed but money not credited. possible mix up,Refund not processed,6484.39,False,True,True,True
SYN-01387,TXN-318964,same transaction debited two times,Duplicate charge,29194.43,False,False,False,True
SYN-00306,TXN-403314,product quality and colour do not match,Product not as described,10681.28,False,False,False,True
SYN-00011,TXN-694731,charged twice for the same order. please help,Duplicate charge,68502.5,False,True,True,True
SYN-00778,TXN-256557,item is different from its description. custmer says,Product not as described,5151.8,False,False,False,True
SYN-01009,TXN-478108,order never delivered although tracking says pending. please help,Product not received,21218.13,False,False,False,True
SYN-00674,TXN-215717,service was not as advertised,Product not as described,10418.61,True,True,True,True
SYN-00246,TXN-708851,invoice total differs from debit. merchant disagrees,Incorrect transaction amount,44466.86,True,False,True,True
SYN-00059,TXN-810219,duplicate payment appears on my card. custmer says,Duplicate charge,70539.14,True,False,True,True
SYN-00837,TXN-769078,I do not recognize ths payment,Transaction not recognized,71296.52,False,False,False,True
SYN-01527,TXN-947954,membership was cancelled but billing continued,Subscription cancellation dispute,61074.88,True,True,True,True
SYN-01104,TXN-468488,I have another issue with this transaction,Other,28634.86,False,False,False,True
SYN-01549,TXN-380531,unknown purchase on my statement,Transaction not recognized,39607.47,True,False,True,True
SYN-01488,TXN-389666,I have another issue with this transaction. custmer says,Other,70905.88,True,False,True,True
SYN-00455,TXN-700660,membership was cancelled but billing continued. custmer says,Subscription cancellation dispute,52709.93,True,True,True,True
SYN-01432,TXN-289401,unclear problem with this purchse,Other,21327.52,False,True,True,True
SYN-01297,TXN-640028,my parcel has not arrived,Product not received,36077.74,False,False,False,True
SYN-00316,TXN-354377,refund promised but not received,Refund not processed,36022.76,True,False,True,True
SYN-01224,TXN-193190,unclear problem with this purchase,Other,69339.1,False,False,True,True
SYN-00933,TXN-145383,I do not recognize this payment. possible mix up,Transaction not recognized,68157.9,False,False,False,True
SYN-00925,TXN-113524,unknown purchase on my statement. custmer says,Transaction not recognized,61783.77,True,False,True,True
SYN-00146,TXN-336574,product quality and colour do not match,Product not as described,10727.77,True,False,True,True
SYN-00275,TXN-883641,charged twice for the same order. merchant disagrees,Duplicate charge,49266.37,True,False,True,True
SYN-01211,TXN-477048,duplicate payment appears on my card. ref tx,Duplicate charge,36191.05,True,False,True,True
SYN-00689,TXN-409030,order never delivered although tracking says pending,Product not received,32924.44,False,False,False,True
SYN-00139,TXN-515032,same transaction debited two times,Duplicate charge,62286.64,False,True,True,True
SYN-00938,TXN-832045,service was notas advertised. custmer says,Product not as described,35708.19,False,False,False,True
SYN-01573,TXN-709732,I do not recognize this payment,Transaction not recognized,38211.54,False,False,False,True
SYN-00609,TXN-854500,my parcel has not arrived. urgent,Product not received,47893.82,False,False,False,True
SYN-00694,TXN-772036,charged the wrong amount,Incorrect transaction amount,24329.81,False,False,False,True
SYN-00403,TXN-769077,charged twice for the same order,Duplicate charge,18232.16,True,False,True,True
SYN-01117,TXN-732262,I never authorized this transaction,Transaction not recognized,50478.4,True,False,True,True
SYN-00934,TXN-309740,charged the wrong amount. please help,Incorrect transaction amount,15563.21,False,False,False,True
SYN-01401,TXN-124057,order never delivered although tracking says pending. possible mix up,Product not received,4244.05,False,False,False,True
SYN-01010,TXN-272998,product quality and colour do not match. merchant disagrees,Product not as described,23612.48,False,False,False,True
SYN-00755,TXN-571228,same transaction debited two times,Duplicate charge,8738.65,False,True,True,True
SYN-00256,TXN-593446,I have another issuewith this transaction,Other,49138.31,False,False,False,True
SYN-00524,TXN-636561,return completed but money not credited. please help,Refund not processed,6937.27,False,True,True,True
SYN-01436,TXN-877725,merchant has not processed my refund,Refund not processed,12046.6,False,False,False,True
SYN-00491,TXN-778827,duplicate payment appears on my card. please help,Duplicate charge,64311.77,False,False,False,True
SYN-00868,TXN-363592,merchant has not processed my refund. custmer says,Refund not processed,15876.52,True,False,True,True
SYN-00077,TXN-513160,unknown purchase on my statement,Transaction not recognized,40151.98,False,False,False,True
SYN-00500,TXN-955653,merchant has not processed my refund,Refund not processed,74607.57,False,False,False,True
SYN-00671,TXN-558339,membership was cancelled but billing continued,Subscription cancellation dispute,66185.6,False,False,False,True
SYN-01198,TXN-364178,invoice total diffes from debit,Incorrect transaction amount,42776.11,False,False,False,True
SYN-00825,TXN-791174,order never deliered although tracking says pending. merchant disagrees,Product not received,55474.49,False,False,False,True
SYN-00907,TXN-196973,chaged twice for the same order. details missing,Duplicate charge,33558.2,False,False,False,True
SYN-00430,TXN-573869,charged the wrong amount,Incorrect transaction amount,57820.96,True,False,True,True
SYN-00701,TXN-287588,I never authorized this transaction. ref tx,Transaction not recognized,46973.94,False,False,False,True
SYN-00195,TXN-649525,duplicate payent appears on my card,Duplicate charge,74325.75,True,False,True,True
SYN-01398,TXN-444688,charged the wrong amount. please help,Incorrect transaction amount,15119.63,False,False,False,True
SYN-00885,TXN-817923,unknown purchase on my statement,Transaction not recognized,15693.76,False,False,False,True
SYN-00898,TXN-337798,product quality and colour do not match,Product not as described,59237.01,False,False,False,True
SYN-01396,TXN-507081,refund promised but not received,Refund not processed,5657.88,True,False,True,True
SYN-00362,TXN-949541,product quality and colour do not match,Product not as described,22659.05,False,False,False,True
SYN-01412,TXN-578148,merchant has not processed my refund. merchant disagrees,Refund not processed,48738.24,False,False,False,True
SYN-01221,TXN-794791,I do not recognize this payment. ref tx,Transaction not recognized,43459.54,True,False,True,True
SYN-00922,TXN-767153,product quality and colour do not match,Product not as described,27214.39,False,True,True,True
SYN-01403,TXN-293020,duplicate payment appears on my card,Duplicate charge,67001.78,False,False,False,True
SYN-01463,TXN-778569,charged after cancelling subscription. merchant disagrees,Subscription cancellation dispute,18328.99,False,False,False,True
SYN-01371,TXN-773662,duplicate payment appears on my card,Duplicate charge,4687.12,True,True,True,True
SYN-01470,TXN-471643,invoice total differs from debit. custmer says,Incorrect transaction amount,41362.31,False,True,True,True
SYN-01422,TXN-956379,charged the wrong amount,Incorrect transaction amount,28204.92,True,True,True,True
SYN-00088,TXN-782054,unclear problem with this purchase,Other,39226.18,True,True,True,True
SYN-01327,TXN-860585,charged after cancelling subscription. ref tx,Subscription cancellation dispute,25848.11,True,False,True,True
