case_id,transaction_id,dispute_description,ground_truth_reason,transaction_amount,missing_document,contradiction,expected_human_review,synthetic
SYN-00673,TXN-779956,did not receive the product. possible mix up,Product not received,20534.78,False,False,False,True
SYN-00949,TXN-873637,unknown purchase on my statement. merchant disagrees,Transaction not recognized,2422.35,True,False,True,True
SYN-00564,TXN-225151,merchant has not processed my refund,Refund not processed,55183.68,True,False,True,True
SYN-00057,TXN-796503,did not receive the product,Product not received,32460.48,False,False,False,True
SYN-00087,TXN-479781,membership was cancelled but billing continued. custmer says,Subscription cancellation dispute,8093.41,False,False,False,True
SYN-01350,TXN-602171,charged the wrong amount. ref tx,Incorrect transaction amount,23191.7,False,False,False,True
SYN-01555,TXN-900059,charged twice for the same order,Duplicate charge,2540.73,False,False,False,True
SYN-00305,TXN-146385,my parcel has not arrived. please help,Product not received,18505.36,False,False,False,True
SYN-01297,TXN-640028,my parcel has not arrived,Product not received,36077.74,False,False,False,True
SYN-00819,TXN-817303,same transaction debited two tims. details missing,Duplicate charge,50219.71,False,False,False,True
SYN-01433,TXN-123023,my parcel has not arrived. possible mix up,Product not received,36929.06,False,False,False,True
SYN-01040,TXN-571351,I have another issue with this transaction. urgent,Other,1667.18,False,False,False,True
SYN-00922,TXN-767153,product quality and colour do not match,Product not as described,27214.39,False,True,True,True
SYN-00454,TXN-283869,amount taken is higher than agreed,Incorrect transaction amount,44253.06,False,False,False,True
SYN-00796,TXN-797492,refund promised but not received,Refund not processed,52530.87,False,False,False,True
SYN-01428,TXN-182598,merchant has not processed my refund. possible mix up,Refund not processed,69060.38,True,False,True,True
SYN-01361,TXN-785720,order never delivered although tracking says pending,Product not received,10538.09,False,False,False,True
SYN-01153,TXN-606773,did not receive the product,Product not received,39505.11,True,False,True,True
SYN-00489,TXN-597635,my parcel has not arrived,Product not received,72046.88,False,False,False,True
SYN-00568,TXN-669460,payment dispute needs investigation,Other,12120.07,False,False,False,True
SYN-00968,TXN-119506,payment dispute needs investigation. ref tx,Other,41157.22,False,False,False,True
SYN-00473,TXN-626491,did not receive the product,Product not received,53629.78,True,False,True,True
SYN-01241,TXN-645316,did not receive the product,Product not received,10907.62,True,False,True,True
SYN-00570,TXN-780840,item is different from its description,Product not as described,56459.36,False,False,False,True
SYN-01113,TXN-879243,did not receive the product,Product not received,899.38,False,False,False,True
SYN-01313,TXN-817684,order never delivered although tracking says pending. please help,Product not received,1219.96,True,False,True,True
SYN-01434,TXN-572780,product quality and colour do not match. custer says,Product not as described,47589.31,False,False,False,True
SYN-00808,TXN-523831,unclear problem with this purchase,Other,73984.33,True,True,True,True
SYN-01089,TXN-841761,did not receive the product. please help,Product not received,59752.47,False,False,False,True
SYN-01105,TXN-415242,did not receive the product. possible mix up,Product not received,42318.07,True,False,True,True
SYN-00231,TXN-132653,charged after cancelling subscription,Subscription cancellation dispute,12166.17,False,False,False,True
SYN-01193,TXN-201295,my parcel has not arrived,Product not received,16697.7,True,False,True,True
SYN-01162,TXN-373820,service was not as advertised,Product not as described,40825.34,False,False,False,True
SYN-01357,TXN-845859,unknown purchase on my statement. please help,Transaction not recognized,20051.26,False,False,False,True
SYN-00249,TXN-946567,did not receive the product. custmer says,Product not received,18516.11,False,False,False,True
SYN-00772,TXN-687638,return completed but money not credited,Refund not processed,25166.99,False,False,False,True
SYN-00387,TXN-765678,duplicate payment appears on my card,Duplicate charge,72916.81,False,True,True,True
SYN-00827,TXN-889327,charged twice for the same order. please help,Duplicate charge,62853.38,False,False,False,True
SYN-00469,TXN-489043,unknown purchase on my statement,Transaction not recognized,29186.42,True,False,True,True
SYN-00954,TXN-840356,product qualiy and colour do not match,Product not as described,22867.04,False,False,False,True
SYN-00964,TXN-991640,return completed but money not credited. ref tx,Refund not processed,5833.1,False,False,False,True
SYN-00822,TXN-373094,invoice total differs from debit. please help,Incorrect transaction amount,58919.4,False,False,False,True
SYN-01234,TXN-797385,product quality and colour do not match. custmer says,Product not as described,70586.07,False,False,False,True
SYN-00260,TXN-891638,refund promised but not received,Refund not processed,70433.29,False,False,False,True
SYN-00505,TXN-708502,order never delivered although tracking says pending,Product not received,47652.51,True,True,True,True
SYN-01587,TXN-570700,same transaction debited wo times,Duplicate charge,26750.19,True,False,True,True
SYN-01481,TXN-253703,my parcel has not arrived,Product not received,12713.56,False,False,False,True
SYN-01490,TXN-818826,service was not as advertised,Product not as described,37519.24,True,False,True,True
SYN-01209,TXN-181961,my parcel has not arrived. urgent,Product not received,17875.23,False,False,False,True
SYN-00748,TXN-140382,return completed but money not credited,Refund not processed,52867.32,False,False,False,True
SYN-01386,TXN-477819,service was not as advertised,Product not as described,25558.09,True,False,True,True
SYN-01543,TXN-557729,charged after cancelling subscription,Subscription cancellation dispute,14683.89,False,False,False,True
SYN-01345,TXN-172827,did not receive the product. merchant disagrees,Product not received,45664.7,True,False,True,True
SYN-01186,TXN-583767,item is different from its description. please help,Product not as described,34925.03,True,False,True,True
SYN-00955,TXN-807814,charged twice for the same order,Duplicate charge,8380.88,False,False,False,True
SYN-00015,TXN-654816,renewal debit after cancellation. custmer says,Subscription cancellation dispute,74709.88,True,False,True,True
SYN-00174,TXN-789275,amount taken is higher than agreed,Incorrect transaction amount,10914.35,False,False,False,True
SYN-00013,TXN-479580,I do not recognize this payment,Transaction not recognized,43847.85,False,False,False,True
SYN-00110,TXN-559023,invoice total differs from debit. custmer says,Incorrect transaction amount,40590.16,False,False,False,True
SYN-01196,TXN-954678,refund promised but not received. custmer says,Refund not processed,5137.08,False,False,False,True
SYN-00665,TXN-599284,my parcel has not arrived. possible mix up,Product not received,68662.29,True,False,True,True
SYN-00985,TXN-679577,did not receive the product,Product not received,18126.99,False,False,False,True
SYN-01121,TXN-589251,did not receive the product. merchant disagrees,Product not received,51076.66,False,False,False,True
SYN-00856,TXN-578344,unclear problem with tis purchase,Other,59568.34,True,False,True,True
SYN-00989,TXN-872739,I never authorized this transction,Transaction not recognized,36978.04,True,False,True,True
SYN-00152,TXN-878325,payment dispute needs investigation,Other,31550.1,False,False,False,True
SYN-01065,TXN-460875,order never delivered although tracking says pending,Product not received,55753.52,False,False,False,True
SYN-01338,TXN-376864,product quality and colour do not match,Product not as described,66322.07,True,False,True,True
SYN-00150,TXN-222343,amount taken is higher than agreed. please help,Incorrect transaction amount,48762.76,False,False,False,True
SYN-01273,TXN-665163,did not receive the product,Product not received,62818.2,False,True,True,True
SYN-01081,TXN-224535,my parcel has not arrived,Product not received,42014.76,True,True,True,True
SYN-00977,TXN-789365,my parcel has not arrived. merchant disagrees,Product not received,27384.24,False,False,False,True
SYN-00670,TXN-551344,invoice total differs from debit.details missing,Incorrect transaction amount,882.13,False,False,False,True
SYN-00097,TXN-389930,my parcel has not arrived,Product not received,55447.37,False,False,False,True
SYN-01353,TXN-820126,order never delivered although tracking says pending,Product not received,51394.11,True,False,True,True
SYN-00761,TXN-673929,did not receive the product,Product not received,690.67,False,False,False,True
SYN-01307,TXN-413823,charged twice for the sameorder,Duplicate charge,29772.24,False,False,False,True
SYN-00594,TXN-952117,item i different from its description. custmer says,Product not as described,47445.29,False,False,False,True
SYN-00697,TXN-318877,did not rceive the product,Product not received,69779.72,False,True,True,True
SYN-00159,TXN-717457,renwal debit after cancellation. urgent,Subscription cancellation dispute,59174.47,True,False,True,True
SYN-00297,TXN-461264,my parcel has not arrived,Product not received,3586.72,False,False,False,True
SYN-00931,TXN-182423,charged twice for the same order,Duplicate charge,9939.46,True,True,True,True
SYN-01056,TXN-863729,unclear problem with this purchase. please help,Other,27249.92,True,False,True,True
SYN-00976,TXN-158014,unclear problem with this purchase,Other,58710.87,True,False,True,True
SYN-00889,TXN-897846,order never delivered although tracking says pending,Product not received,56537.13,False,False,False,True
SYN-00946,TXN-623354,item is different from its description. details missing,Product not as described,31967.3,False,False,False,True
SYN-00391,TXN-822040,membership was cancelled but billing continued. possible mix up,Subscription cancellation dispute,32198.82,False,False,False,True
SYN-00065,TXN-821024,did not receive the product,Product not received,11237.48,False,False,False,True
SYN-00929,TXN-726680,my parcel has not arrived,Product not received,61314.31,True,False,True,True
SYN-01579,TXN-180157,charged twice for the same order,Duplicate charge,42121.75,False,True,True,True
SYN-00331,TXN-447362,duplicate payment appears on my card. please help,Duplicate charge,48438.71,True,False,True,True
SYN-00784,TXN-809589,payment dispute needs investigation,Other,70364.12,False,False,False,True
SYN-00841,TXN-370782,order never delivered although tracking says pending. please help,Product not received,74697.7,True,False,True,True
SYN-01345,TXN-172827,did not receive the product. merchant disagrees,Product not received,45664.7,True,False,True,True
SYN-00289,TXN-837733,my parcel has not arrived. please help,Product not received,69248.25,True,False,True,True
SYN-00209,TXN-992512,my parcel has not arrived,Product not received,63472.59,False,True,True,True
SYN-01475,TXN-381298,same transaction debited two times,Duplicate charge,65988.55,True,False,True,True
SYN-00496,TXN-817659,unclear problem with this purchase,Other,21343.51,False,False,True,True
SYN-00969,TXN-878261,did not receive the product,Product not received,72166.32,False,False,False,True
SYN-01337,TXN-780154,order never delivred although tracking says pending,Product not received,8889.74,False,False,False,True
SYN-01135,TXN-712018,charged after cancelling subscription. merchant disagrees,Subscription cancellation dispute,26958.58,False,False,False,True
SYN-00797,TXN-468512,unknown purchase on my statement,Transaction not recognized,35754.49,False,True,True,True
SYN-00608,TXN-253999,I have another issue with this transaction. details missing,Other,66831.56,True,False,True,True
SYN-00585,TXN-861200,did not receive the product,Product not received,56172.33,False,False,False,True
SYN-01209,TXN-181961,my parcel has not arrived. urgent,Product not received,17875.23,False,False,False,True
SYN-00368,TXN-511612,payment dispute needs investigation,Other,29269.61,False,False,False,True
SYN-00569,TXN-407835,did not receive the product,Product not received,24963.11,False,False,False,True
SYN-01534,TXN-427406,charged the wrong amunt,Incorrect transaction amount,45920.91,True,False,True,True
SYN-01233,TXN-733729,did not receive the product,Product not received,56816.75,True,False,True,True
SYN-01151,TXN-185362,membership was cancelled but billing continued,Subscription cancellation dispute,15850.18,False,False,False,True
SYN-00897,TXN-675111,order never delivered although tracking says pending,Product not received,39855.96,False,False,False,True
SYN-00845,TXN-510339,I never authorized this transaction,Transaction not recognized,52563.83,False,False,False,True
SYN-00577,TXN-191772,did not receive the prouct,Product not received,25011.64,True,False,True,True
SYN-01320,TXN-775149,unclear problem with this purchase,Other,38337.31,True,False,True,True
SYN-01116,TXN-390819,return completed but money not credited,Refund not processed,29826.64,True,False,True,True
SYN-01265,TXN-722217,my parcel has not arrived. ref tx,Product not received,48826.97,True,False,True,True
SYN-00813,TXN-242371,I do not recognize this payment. please help,Transaction not recognized,49412.57,True,False,True,True
SYN-00215,TXN-227767,renewal debit after cancellation,Subscription cancellation dispute,17974.73,False,False,False,True
SYN-00119,TXN-677596,renewal debit after cacellation,Subscription cancellation dispute,12045.85,False,False,False,True
SYN-00673,TXN-779956,did not receive the product. possible mix up,Product not received,20534.78,False,False,False,True
SYN-00582,TXN-672233,amount taken is higher than agreed. urgent,Incorrect transaction amount,59851.65,True,False,True,True
SYN-00414,TXN-180813,invoice total differs from debit,Incorrect transaction amount,43333.12,True,False,True,True
SYN-00873,TXN-243030,my parcel has not arrived,Product not received,29171.69,False,False,False,True
SYN-01075,TXN-359662,same transaction debited two times,Duplicate charge,39070.58,False,False,False,True
SYN-00161,TXN-790909,order never delivered although traking says pending,Product not received,54597.5,True,False,True,True
SYN-00988,TXN-903986,refund promised but not received. possible mix up,Refund not processed,65984.03,False,False,False,True
SYN-00661,TXN-863124,I never authorized this transaction,Transaction not recognized,1926.98,False,False,False,True
SYN-01489,TXN-577131,order never delivered although tracking says pending. details missing,Product not received,32622.21,True,False,True,True
SYN-00001,TXN-671858,did not receive the product. custmer says,Product not received,50816.8,True,False,True,True
SYN-01494,TXN-847841,invoice total differs from debit,Incorrect transaction amount,71535.61,False,False,False,True
SYN-00689,TXN-409030,order never delivered although tracking says pending,Product not received,32924.44,False,False,False,True
SYN-01043,TXN-956360,charged twice for the same order,Duplicate charge,50964.04,False,False,False,True
SYN-00243,TXN-553633,charged twice for the same order,Duplicate charge,72476.56,False,False,False,True
SYN-00657,TXN-586279,did not receive the product,Product not received,46101.66,False,True,True,True
SYN-00713,TXN-464831,my parcel has not arrived,Product not received,57863.2,True,True,True,True
SYN-00809,TXN-476695,my parcel has not arived,Product not received,42089.82,False,True,True,True
SYN-01081,TXN-224535,my parcel has not arrived,Product not received,42014.76,True,True,True,True
SYN-00561,TXN-363550,order never delivered although tracking says pending,Product not received,1168.81,True,False,True,True
SYN-00679,TXN-113228,membership was cancelled but billing continued. ref tx,Subscription cancellation dispute,28741.37,False,False,False,True
SYN-00721,TXN-787247,did not receive the product. custmer says,Product not received,25969.81,False,False,False,True
SYN-00023,TXN-518373,membership was cancelled but billing continued,Subscription cancellation dispute,53528.3,False,False,False,True
SYN-00271,TXN-774558,membership was cancelled but billing continued,Subscription cancellation dispute,54124.88,False,False,False,True
SYN-01227,TXN-838246,duplicate payment appears on my card,Duplicate charge,28223.3,False,True,True,True
SYN-00057,TXN-796503,did not receive the product,Product not received,32460.48,False,False,False,True
SYN-01479,TXN-110206,membership was canelled but billing continued,Subscription cancellation dispute,57067.26,False,True,True,True
SYN-00018,TXN-982554,service was not as advertised. details missing,Product not as described,46972.08,False,True,True,True
SYN-00139,TXN-515032,same transaction debited two times,Duplicate charge,62286.64,False,True,True,True
SYN-00703,TXN-453907,renewal debit after cancellation,Subscription cancellation dispute,30235.88,True,False,True,True
SYN-01546,TXN-406616,item is different from its description. urgent,Product not as described,66803.66,True,False,True,True
SYN-01423,TXN-353578,renewal debit after cancellation,Subscription cancellation dispute,74463.61,True,False,True,True
SYN-01519,TXN-607243,charged after cancelling subscription. possible mix up,Subscription cancellation dispute,62981.39,False,True,True,True
SYN-00058,TXN-799287,product quality and colour do not match,Product not as described,38132.27,True,False,True,True
SYN-00521,TXN-738584,my parcel has not arrived,Product not received,37430.38,True,False,True,True
SYN-00948,TXN-905305,merchant has not processed my refund,Refund not processed,21060.3,False,False,False,True
SYN-00073,TXN-829308,order never delivered although tracking says pending,Product not received,43888.72,False,False,False,True
SYN-00837,TXN-769078,I do not recognize ths payment,Transaction not recognized,71296.52,False,False,False,True
SYN-00633,TXN-630829,order never delivered although tracking says pending. urgent,Product not received,13291.78,False,True,True,True
SYN-01164,TXN-338633,return completed but money not creited,Refund not processed,64936.73,False,False,False,True
SYN-00226,TXN-295892,product quality and colour do not match,Product not as described,25559.28,False,False,False,True
SYN-00475,TXN-816308,duplicate payment appears on my card. urgent,Duplicate charge,31867.87,False,True,True,True
SYN-00994,TXN-601602,service was not as advertised,Product not as described,24090.37,False,False,False,True
SYN-00833,TXN-510154,did not receive the product,Product not received,49144.53,True,True,True,True
SYN-00044,TXN-153266,refund promised but not received,Refund not processed,68130.2,False,False,False,True
SYN-01321,TXN-149866,my parcel has not arrived. merchant disagrees,Product not received,18672.5,False,False,False,True
SYN-00593,TXN-664781,did not receive the product. custmer says,Product not received,10671.26,False,False,False,True
SYN-00235,TXN-372933,charged twice for the same order. urgent,Duplicate charge,19780.16,False,False,False,True
SYN-00449,TXN-120896,order never delivered although tracking says pending,Product not received,45203.98,True,True,True,True
SYN-00639,TXN-429119,charged after cancelling subscription,Subscription cancellation dispute,13549.91,True,False,True,True
SYN-01025,TXN-599583,my parcel hasnot arrived,Product not received,66428.78,False,False,False,True
SYN-00160,TXN-570050,payment dispute needs investigation. merchant disgrees,Other,4953.2,False,True,True,True
SYN-00219,TXN-766549,same transaction debited two times,Duplicate charge,35365.57,False,False,False,True
SYN-00555,TXN-982260,duplicate payment appears on my card,Duplicate charge,50633.09,False,False,False,True
SYN-00176,TXN-155164,payment dispute needs investigation. merchant disagrees,Other,44797.13,True,False,True,True
SYN-01374,TXN-749114,invoice total differs from debit,Incorrect transaction amount,16046.66,False,True,True,True
SYN-01241,TXN-645316,did not receive the product,Product not received,10907.62,True,False,True,True
SYN-00481,TXN-447596,my parcel has not arrived. ref tx,Product not received,3099.97,False,False,False,True
SYN-00699,TXN-378727,same transaction debited two times,Duplicate charge,61808.32,False,False,False,True
SYN-00509,TXN-613358,I never authorized this transaction. ref tx,Transaction not recognized,57383.15,False,True,True,True
SYN-01441,TXN-716121,did not receive the product,Product not received,59527.65,False,True,True,True
SYN-00854,TXN-175532,amount taken is higher than agreed,Incorrect transaction amount,43534.64,False,True,True,True
SYN-01544,TXN-931710,I have another issue with this transaction. please help,Other,66647.37,True,False,True,True
SYN-01217,TXN-140712,did not receive the product,Product not received,30776.72,False,False,False,True
SYN-00036,TXN-697347,returncompleted but money not credited. urgent,Refund not processed,9166.64,False,False,False,True
SYN-01513,TXN-388548,order never delivered although tracking says pending,Product not received,27676.36,True,False,True,True
SYN-01598,TXN-840632,invoice total differs from debit,Incorrect transaction amount,8398.3,False,False,False,True
SYN-00937,TXN-890645,did not receive the product,Product not received,13047.83,False,False,False,True
SYN-01082,TXN-489511,service was nt as advertised,Product not as described,11666.33,False,True,True,True
SYN-00991,TXN-575279,renewal debit after cancellation. please help,Subscription cancellation dispute,55386.09,False,False,False,True
SYN-00765,TXN-197649,I never authorized this transaction,Transaction not recognized,69874.62,False,False,False,True
SYN-01049,TXN-309174,my parcel has not arrived,Product not received,9855.55,False,False,False,True
SYN-00881,TXN-779099,my parcel has not arrived. pssible mix up,Product not received,22324.42,False,True,True,True
SYN-00745,TXN-803950,my parcel has not arrived. possible mix up,Product not received,16846.28,False,False,False,True
SYN-00609,TXN-854500,my parcel has not arrived. urgent,Product not received,47893.82,False,False,False,True
SYN-01466,TXN-988990,service was not as advertised,Product not as described,49215.3,False,False,False,True
SYN-00457,TXN-435039,did not receive the product. detals missing,Product not received,18001.33,True,False,True,True
SYN-00753,TXN-287567,did not receive the product,Product not received,33925.71,True,False,True,True
SYN-00650,TXN-997904,service was not as advertised,Product not as described,41738.99,False,False,False,True
SYN-00439,TXN-743937,charged after cancelling subscription,Subscription cancellation dispute,11316.78,True,False,True,True
SYN-01311,TXN-814852,membership was cancelled but billing continued,Subscription cancellation dispute,37267.95,True,False,True,True
SYN-00121,TXN-678043,did not receive the product. custmer says,Product not received,18430.32,False,False,False,True
SYN-01182,TXN-169986,charged the wrong amount. possible mix up,Incorrect transaction amount,50065.61,False,False,False,True
SYN-00668,TXN-422823,return completed but money not credited,Refund not processed,6897.73,False,False,False,True
SYN-00660,TXN-480805,merchant has not processed my refund,Refund not processed,58616.64,False,False,False,True
SYN-00560,TXN-506380,unclear problem with this purchase,Other,69500.99,True,False,True,True
SYN-00268,TXN-533020,refund promised but not received,Refund not processed,31524.19,True,False,True,True
SYN-00825,TXN-791174,order never deliered although tracking says pending. merchant disagrees,Product not received,55474.49,False,False,False,True
SYN-01236,TXN-393042,merchant has not processed my refund,Refund not processed,65201.46,True,False,True,True
SYN-00953,TXN-994303,my parcel has nt arrived,Product not received,33868.09,False,True,True,True
SYN-00145,TXN-945664,did not receive the product,Product not received,36241.7,True,False,True,True
SYN-00923,TXN-292148,duplicate payment appears on my card. merchant disagrees,Duplicate charge,57529.66,False,False,False,True
SYN-00941,TXN-397388,unknown purchase on my statement,Transaction not recognized,8855.17,True,False,True,True
SYN-00495,TXN-636361,membership was cancelled but billing continued. merchant disagrees,Subscription cancellation dispute,7852.05,False,False,False,True
SYN-00488,TXN-766275,payment dispute needs investigation. merchant disagrees,Other,37982.96,True,False,True,True
SYN-00794,TXN-832534,item is different from its description,Product not as described,61001.07,False,True,True,True
SYN-00966,TXN-547852,amount takenis higher than agreed,Incorrect transaction amount,39923.09,True,False,True,True
SYN-00677,TXN-489438,I do not recognize this payment. please help,Transaction not recognized,59999.58,True,False,True,True
SYN-00987,TXN-194634,duplicate payment appears on my card,Duplicate charge,19313.18,False,False,False,True
SYN-00225,TXN-938171,did not receive the product. merchant disagrees,Product not received,20635.88,True,False,True,True
SYN-01545,TXN-180333,did not receive the product,Product not received,60983.93,True,False,True,True
SYN-00888,TXN-780566,I have another issue with this transaction,Other,40564.15,True,False,True,True
SYN-00063,TXN-335552,renewal debit after cancellation,Subscription cancellation dispute,50524.79,False,False,False,True
SYN-01097,TXN-351262,order never delivered although tracking says pending. merchant disagrees,Product not received,4079.54,False,False,False,True
SYN-00401,TXN-128127,did not receive the product. details missing,Product not received,70607.63,False,False,False,True
SYN-01450,TXN-941718,service was not as advertised,Product not as described,14944.02,True,False,True,True
SYN-00190,TXN-417530,invoice total differs from debit,Incorrect transaction amount,33276.61,True,True,True,True
SYN-00705,TXN-672130,order never delivered although tracking says pending,Product not received,18205.29,False,False,False,True
SYN-00453,TXN-841535,I do not recognize this payment,Transaction not recognized,23932.12,False,False,False,True
SYN-00073,TXN-829308,order never delivered although tracking says pending,Product not received,43888.72,False,False,False,True
SYN-01584,TXN-135730,I have another issue with this transaction,Other,7753.55,False,False,False,True
SYN-00971,TXN-818596,same transaction debited two times,Duplicate charge,11454.5,False,True,True,True
SYN-01489,TXN-577131,order never delivered although tracking says pending. details missing,Product not received,32622.21,True,False,True,True
SYN-00825,TXN-791174,order never deliered although tracking says pending. merchant disagrees,Product not received,55474.49,False,False,False,True
SYN-01249,TXN-876555,order never delivered although tracking says pending,Product not received,6866.72,True,True,True,True
SYN-00551,TXN-834018,membership was cancelled but billing continued,Subscription cancellation dispute,31072.77,False,True,True,True
SYN-00775,TXN-777015,charged after cancelling subscription. possible mix up,Subscription cancellation dispute,59834.43,False,False,False,True
SYN-01592,TXN-250152,unclear problem with this purchase,Other,56845.81,True,False,True,True
SYN-00689,TXN-409030,order never delivered although tracking says pending,Product not received,32924.44,False,False,False,True
SYN-00398,TXN-884616,amount taken is higher than agreed,Incorrect transaction amount,16135.76,True,False,True,True
SYN-00817,TXN-604923,did not receive the product,Product not received,8663.81,False,False,False,True
SYN-00431,TXN-838936,membership was cancelled but billing continued,Subscription cancellation dispute,22954.58,True,False,True,True
SYN-00567,TXN-842057,renewal debit after cancellation,Subscription cancellation dispute,5650.56,False,False,False,True
SYN-00767,TXN-741784,charged after cancelling subscription. possible mix up,Subscription cancellation dispute,52247.74,False,False,False,True
SYN-00600,TXN-478799,payment dispute needs investigation. merchant disagrees,Other,68097.82,True,False,True,True
SYN-01577,TXN-355882,order never delivered although tracking says pending,Product not received,43227.81,True,False,True,True
SYN-00217,TXN-469954,did not receive the product. details missing,Product not received,316.01,False,False,False,True
SYN-00689,TXN-409030,order never delivered although tracking says pending,Product not received,32924.44,False,False,False,True
SYN-00249,TXN-946567,did not receive the product. custmer says,Product not received,18516.11,False,False,False,True
SYN-01189,TXN-136118,I do not rcognize this payment,Transaction not recognized,16406.31,True,False,True,True
SYN-00441,TXN-941134,order never delivered although tracking says pending,Product not received,18835.5,False,False,False,True
SYN-00267,TXN-353961,duplicate payment appears on my card. custmer says,Duplicate charge,61660.09,False,False,False,True
SYN-00189,TXN-754858,I never authorized this transaction,Transaction not recognized,47719.95,False,False,False,True
SYN-01073,TXN-693071,did not receive the product,Product not received,74177.19,False,False,False,True
SYN-00210,TXN-196168,item is different from its description. possible mix up,Product not as described,62362.13,False,False,False,True
SYN-00593,TXN-664781,did not receive the product. custmer says,Product not received,10671.26,False,False,False,True
SYN-01556,TXN-375285,merchant has not processed my refund,Refund not processed,62146.01,False,False,False,True
SYN-01225,TXN-884639,my parcel has not arrived,Product not received,56204.76,True,True,True,True
SYN-01017,TXN-513316,order never delivered although tracking says pending,Product not received,51111.51,True,False,True,True
SYN-01021,TXN-673734,I never authorized this transaction. possibe mix up,Transaction not recognized,55835.98,True,False,True,True
SYN-00273,TXN-934042,order never delivered although tracking says pending,Product not received,42124.03,False,False,False,True
SYN-00194,TXN-978053,product quality and colour do not match,Product not as described,60860.13,False,False,False,True
SYN-00050,TXN-448321,item is different from its description,Product not as described,55294.76,False,True,True,True
SYN-00734,TXN-243928,charged the wrong amount,Incorrect transaction amount,29584.32,True,False,True,True
SYN-00962,TXN-947591,product quality and colour do not match,Product not as described,43025.46,False,False,False,True
SYN-01425,TXN-266140,order never delivered although tracking says pending. custmer says,Product not received,23995.06,False,False,False,True
SYN-01446,TXN-489714,charged the wrong amount,Incorrect transaction amount,16294.99,True,False,True,True
SYN-00201,TXN-289019,did not receive the prouct,Product not received,27321.67,False,False,False,True
SYN-00277,TXN-155040,I never authorized this transaction,Transaction not recognized,47917.89,False,False,False,True
SYN-01486,TXN-496129,amount taken is higher than agreed,Incorrect transaction amount,14698.58,False,False,False,True
SYN-00105,TXN-351516,did not eceive the product,Product not received,6271.9,False,False,False,True
SYN-00002,TXN-308496,item isdifferent from its description,Product not as described,2183.92,True,False,True,True
SYN-00106,TXN-134225,item is different from its description,Product not as described,35348.92,False,False,False,True
SYN-00530,TXN-985364,product quality and colour do not match,Product not as described,4585.81,True,False,True,True
SYN-01105,TXN-415242,did not receive the product. possible mix up,Product not received,42318.07,True,False,True,True
SYN-00871,TXN-338846,renewal debit after cancellation. urgent,Subscription cancellation dispute,8437.05,False,False,False,True
SYN-01401,TXN-124057,order never delivered although tracking says pending. possible mix up,Product not received,4244.05,False,False,False,True
SYN-00719,TXN-688426,charged after cancelling subscription,Subscription cancellation dispute,42935.11,True,False,True,True
SYN-00485,TXN-492073,I do not recognize this payment. urgent,Transaction not recognized,38833.82,False,False,False,True
SYN-00678,TXN-913331,invoce total differs from debit,Incorrect transaction amount,4390.72,False,False,False,True
SYN-00392,TXN-477943,I have another issue with this transaction,Other,7180.92,False,False,False,True
SYN-00803,TXN-525505,duplicate payment appears on my card. details missing,Duplicate charge,13376.99,False,False,False,True
SYN-00177,TXN-563516,my parcl has not arrived. details missing,Product not received,36526.98,True,False,True,True
SYN-00574,TXN-910883,invoice total differs from debit,Incorrect transaction amount,12720.3,False,False,False,True
